"hgnc_symbol","entrezgene_id","description","gene_biotype"
"AASDHPPT",60496,"aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase [Source:HGNC Symbol;Acc:HGNC:14235]","protein_coding"
"AASS",10157,"aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:HGNC:17366]","protein_coding"
"AATF",26574,"apoptosis antagonizing transcription factor [Source:HGNC Symbol;Acc:HGNC:19235]","protein_coding"
"AATK",9625,"apoptosis associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:21]","protein_coding"
"ABAT",18,"4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23]","protein_coding"
"ABCA1",19,"ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]","protein_coding"
"ABCA10",10349,"ATP binding cassette subfamily A member 10 [Source:HGNC Symbol;Acc:HGNC:30]","protein_coding"
"ABCA12",26154,"ATP binding cassette subfamily A member 12 [Source:HGNC Symbol;Acc:HGNC:14637]","protein_coding"
"ABCA13",154664,"ATP binding cassette subfamily A member 13 [Source:HGNC Symbol;Acc:HGNC:14638]","protein_coding"
"ABCA17P",NA,"ATP binding cassette subfamily A member 17, pseudogene [Source:HGNC Symbol;Acc:HGNC:32972]","transcribed_unitary_pseudogene"
"ABCA17P",650655,"ATP binding cassette subfamily A member 17, pseudogene [Source:HGNC Symbol;Acc:HGNC:32972]","lncRNA"
"ABCA2",20,"ATP binding cassette subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:32]","protein_coding"
"ABCA3",21,"ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33]","protein_coding"
"ABCA4",24,"ATP binding cassette subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:34]","protein_coding"
"ABCA5",23461,"ATP binding cassette subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:35]","protein_coding"
"ABCA6",23460,"ATP binding cassette subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:36]","protein_coding"
"ABCA7",10347,"ATP binding cassette subfamily A member 7 [Source:HGNC Symbol;Acc:HGNC:37]","protein_coding"
"ABCA8",10351,"ATP binding cassette subfamily A member 8 [Source:HGNC Symbol;Acc:HGNC:38]","protein_coding"
"ABCA9",10350,"ATP binding cassette subfamily A member 9 [Source:HGNC Symbol;Acc:HGNC:39]","protein_coding"
"ABCB1",5243,"ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]","protein_coding"
"ABCB10",23456,"ATP binding cassette subfamily B member 10 [Source:HGNC Symbol;Acc:HGNC:41]","protein_coding"
"ABCB11",8647,"ATP binding cassette subfamily B member 11 [Source:HGNC Symbol;Acc:HGNC:42]","protein_coding"
"ABCB4",5244,"ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]","protein_coding"
"ABCB5",340273,"ATP binding cassette subfamily B member 5 [Source:HGNC Symbol;Acc:HGNC:46]","protein_coding"
"ABCB6",10058,"ATP binding cassette subfamily B member 6 (LAN blood group) [Source:HGNC Symbol;Acc:HGNC:47]","protein_coding"
"ABCB7",22,"ATP binding cassette subfamily B member 7 [Source:HGNC Symbol;Acc:HGNC:48]","protein_coding"
"ABCB8",11194,"ATP binding cassette subfamily B member 8 [Source:HGNC Symbol;Acc:HGNC:49]","protein_coding"
"ABCB9",23457,"ATP binding cassette subfamily B member 9 [Source:HGNC Symbol;Acc:HGNC:50]","protein_coding"
"ABCC1",4363,"ATP binding cassette subfamily C member 1 (ABCC1 blood group) [Source:HGNC Symbol;Acc:HGNC:51]","protein_coding"
"ABCC10",89845,"ATP binding cassette subfamily C member 10 [Source:HGNC Symbol;Acc:HGNC:52]","protein_coding"
"ABCC11",85320,"ATP binding cassette subfamily C member 11 [Source:HGNC Symbol;Acc:HGNC:14639]","protein_coding"
"ABCC12",94160,"ATP binding cassette subfamily C member 12 [Source:HGNC Symbol;Acc:HGNC:14640]","protein_coding"
"ABCC2",1244,"ATP binding cassette subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:53]","protein_coding"
"ABCC3",8714,"ATP binding cassette subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:54]","protein_coding"
"ABCC4",10257,"ATP binding cassette subfamily C member 4 (PEL blood group) [Source:HGNC Symbol;Acc:HGNC:55]","protein_coding"
"ABCC5",10057,"ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56]","protein_coding"
"ABCC6",368,"ATP binding cassette subfamily C member 6 [Source:HGNC Symbol;Acc:HGNC:57]","protein_coding"
"ABCC8",6833,"ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]","protein_coding"
"ABCC9",10060,"ATP binding cassette subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:60]","protein_coding"
"ABCD1",215,"ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]","protein_coding"
"ABCD2",225,"ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]","protein_coding"
"ABCD3",5825,"ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]","protein_coding"
"ABCD4",5826,"ATP binding cassette subfamily D member 4 [Source:HGNC Symbol;Acc:HGNC:68]","protein_coding"
"ABCE1",6059,"ATP binding cassette subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:69]","protein_coding"
"ABCF1",23,"ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]","protein_coding"
"ABCF2",10061,"ATP binding cassette subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:71]","protein_coding"
"ABCF3",55324,"ATP binding cassette subfamily F member 3 [Source:HGNC Symbol;Acc:HGNC:72]","protein_coding"
"ABCG1",9619,"ATP binding cassette subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:73]","protein_coding"
"ABCG2",9429,"ATP binding cassette subfamily G member 2 (JR blood group) [Source:HGNC Symbol;Acc:HGNC:74]","protein_coding"
"ABCG4",64137,"ATP binding cassette subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:13884]","protein_coding"
"ABCG5",64240,"ATP binding cassette subfamily G member 5 [Source:HGNC Symbol;Acc:HGNC:13886]","protein_coding"
"ABCG8",64241,"ATP binding cassette subfamily G member 8 [Source:HGNC Symbol;Acc:HGNC:13887]","protein_coding"
"ABHD1",84696,"abhydrolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17553]","protein_coding"
"ABHD10",55347,"abhydrolase domain containing 10, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:25656]","protein_coding"
"ABHD11",83451,"abhydrolase domain containing 11 [Source:HGNC Symbol;Acc:HGNC:16407]","protein_coding"
"ABHD12",26090,"abhydrolase domain containing 12, lysophospholipase [Source:HGNC Symbol;Acc:HGNC:15868]","protein_coding"
"ABHD12B",145447,"abhydrolase domain containing 12B [Source:HGNC Symbol;Acc:HGNC:19837]","protein_coding"
"ABHD13",84945,"abhydrolase domain containing 13 [Source:HGNC Symbol;Acc:HGNC:20293]","protein_coding"
"ABHD14A",25864,"abhydrolase domain containing 14A [Source:HGNC Symbol;Acc:HGNC:24538]","protein_coding"
"ABHD14B",84836,"abhydrolase domain containing 14B [Source:HGNC Symbol;Acc:HGNC:28235]","protein_coding"
"ABHD15",116236,"abhydrolase domain containing 15 [Source:HGNC Symbol;Acc:HGNC:26971]","protein_coding"
"ABHD16A",7920,"abhydrolase domain containing 16A, phospholipase [Source:HGNC Symbol;Acc:HGNC:13921]","protein_coding"
"ABHD16B",140701,"abhydrolase domain containing 16B [Source:HGNC Symbol;Acc:HGNC:16128]","protein_coding"
"ABHD2",11057,"abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]","protein_coding"
"ABHD3",171586,"abhydrolase domain containing 3, phospholipase [Source:HGNC Symbol;Acc:HGNC:18718]","protein_coding"
"ABHD4",63874,"abhydrolase domain containing 4, N-acyl phospholipase B [Source:HGNC Symbol;Acc:HGNC:20154]","protein_coding"
"ABHD5",51099,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase [Source:HGNC Symbol;Acc:HGNC:21396]","protein_coding"
"ABHD6",57406,"abhydrolase domain containing 6, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:21398]","protein_coding"
"ABHD8",79575,"abhydrolase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:23759]","protein_coding"
"ABI1",10006,"abl interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320]","protein_coding"
"ABI2",10152,"abl interactor 2 [Source:HGNC Symbol;Acc:HGNC:24011]","protein_coding"
"ABI3",51225,"ABI family member 3 [Source:HGNC Symbol;Acc:HGNC:29859]","protein_coding"
"ABI3BP",25890,"ABI family member 3 binding protein [Source:HGNC Symbol;Acc:HGNC:17265]","protein_coding"
"ABL1",25,"ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]","protein_coding"
"ABL2",27,"ABL proto-oncogene 2, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:77]","protein_coding"
"ABLIM1",3983,"actin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:78]","protein_coding"
"ABLIM2",84448,"actin binding LIM protein family member 2 [Source:HGNC Symbol;Acc:HGNC:19195]","protein_coding"
"ABLIM3",22885,"actin binding LIM protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29132]","protein_coding"
"ABO",28,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase [Source:HGNC Symbol;Acc:HGNC:79]","protein_coding"
"ABR",29,"ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81]","protein_coding"
"ABRA",137735,"actin binding Rho activating protein [Source:HGNC Symbol;Acc:HGNC:30655]","protein_coding"
"ABRACL",58527,"ABRA C-terminal like [Source:HGNC Symbol;Acc:HGNC:21230]","protein_coding"
"ABT1",29777,"activator of basal transcription 1 [Source:HGNC Symbol;Acc:HGNC:17369]","protein_coding"
"ABTB1",80325,"ankyrin repeat and BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18275]","protein_coding"
"ABTB2",25841,"ankyrin repeat and BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23842]","protein_coding"
"ACAA1",30,"acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]","protein_coding"
"ACAA2",10449,"acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]","protein_coding"
"ACACA",31,"acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]","protein_coding"
"ACACB",32,"acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85]","protein_coding"
"ACAD10",80724,"acyl-CoA dehydrogenase family member 10 [Source:HGNC Symbol;Acc:HGNC:21597]","protein_coding"
"ACAD8",27034,"acyl-CoA dehydrogenase family member 8 [Source:HGNC Symbol;Acc:HGNC:87]","protein_coding"
"ACAD9",28976,"acyl-CoA dehydrogenase family member 9 [Source:HGNC Symbol;Acc:HGNC:21497]","protein_coding"
"ACADL",33,"acyl-CoA dehydrogenase long chain [Source:HGNC Symbol;Acc:HGNC:88]","protein_coding"
"ACADM",34,"acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]","protein_coding"
"ACADS",35,"acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90]","protein_coding"
"ACADSB",36,"acyl-CoA dehydrogenase short/branched chain [Source:HGNC Symbol;Acc:HGNC:91]","protein_coding"
"ACADVL",37,"acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]","protein_coding"
"ACAN",176,"aggrecan [Source:HGNC Symbol;Acc:HGNC:319]","protein_coding"
"ACAP1",9744,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1 [Source:HGNC Symbol;Acc:HGNC:16467]","protein_coding"
"ACAP2",23527,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2 [Source:HGNC Symbol;Acc:HGNC:16469]","protein_coding"
"ACAP3",116983,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:HGNC:16754]","protein_coding"
"ACAT1",38,"acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]","protein_coding"
"ACAT2",39,"acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]","protein_coding"
"ACBD3",64746,"acyl-CoA binding domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15453]","protein_coding"
"ACBD4",79777,"acyl-CoA binding domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23337]","protein_coding"
"ACBD5",91452,"acyl-CoA binding domain containing 5 [Source:HGNC Symbol;Acc:HGNC:23338]","protein_coding"
"ACBD6",84320,"acyl-CoA binding domain containing 6 [Source:HGNC Symbol;Acc:HGNC:23339]","protein_coding"
"ACBD6",100527964,"acyl-CoA binding domain containing 6 [Source:HGNC Symbol;Acc:HGNC:23339]","protein_coding"
"ACBD7",414149,"acyl-CoA binding domain containing 7 [Source:HGNC Symbol;Acc:HGNC:17715]","protein_coding"
"ACCS",84680,"1-aminocyclopropane-1-carboxylate synthase homolog (inactive) [Source:HGNC Symbol;Acc:HGNC:23989]","protein_coding"
"ACCSL",390110,"1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like [Source:HGNC Symbol;Acc:HGNC:34391]","protein_coding"
"ACD",65057,"ACD shelterin complex subunit and telomerase recruitment factor [Source:HGNC Symbol;Acc:HGNC:25070]","protein_coding"
"ACE",1636,"angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]","protein_coding"
"ACE2",59272,"angiotensin converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13557]","protein_coding"
"ACER1",125981,"alkaline ceramidase 1 [Source:HGNC Symbol;Acc:HGNC:18356]","protein_coding"
"ACER2",340485,"alkaline ceramidase 2 [Source:HGNC Symbol;Acc:HGNC:23675]","protein_coding"
"ACER3",55331,"alkaline ceramidase 3 [Source:HGNC Symbol;Acc:HGNC:16066]","protein_coding"
"ACHE",43,"acetylcholinesterase (Yt blood group) [Source:HGNC Symbol;Acc:HGNC:108]","protein_coding"
"ACIN1",22985,"apoptotic chromatin condensation inducer 1 [Source:HGNC Symbol;Acc:HGNC:17066]","protein_coding"
"ACLY",47,"ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]","protein_coding"
"ACMSD",130013,"aminocarboxymuconate semialdehyde decarboxylase [Source:HGNC Symbol;Acc:HGNC:19288]","protein_coding"
"ACO1",48,"aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]","protein_coding"
"ACO2",50,"aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]","protein_coding"
"ACOT11",26027,"acyl-CoA thioesterase 11 [Source:HGNC Symbol;Acc:HGNC:18156]","protein_coding"
"ACOT12",134526,"acyl-CoA thioesterase 12 [Source:HGNC Symbol;Acc:HGNC:24436]","protein_coding"
"ACOT13",55856,"acyl-CoA thioesterase 13 [Source:HGNC Symbol;Acc:HGNC:20999]","protein_coding"
"ACOT2",10965,"acyl-CoA thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:18431]","protein_coding"
"ACOT4",122970,"acyl-CoA thioesterase 4 [Source:HGNC Symbol;Acc:HGNC:19748]","protein_coding"
"ACOT6",641372,"acyl-CoA thioesterase 6 [Source:HGNC Symbol;Acc:HGNC:33159]","protein_coding"
"ACOT7",11332,"acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157]","protein_coding"
"ACOT8",10005,"acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919]","protein_coding"
"ACOT9",23597,"acyl-CoA thioesterase 9 [Source:HGNC Symbol;Acc:HGNC:17152]","protein_coding"
"ACOX1",51,"acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]","protein_coding"
"ACOX2",8309,"acyl-CoA oxidase 2 [Source:HGNC Symbol;Acc:HGNC:120]","protein_coding"
"ACOX3",8310,"acyl-CoA oxidase 3, pristanoyl [Source:HGNC Symbol;Acc:HGNC:121]","protein_coding"
"ACOXL",55289,"acyl-CoA oxidase like [Source:HGNC Symbol;Acc:HGNC:25621]","protein_coding"
"ACP1",52,"acid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:122]","protein_coding"
"ACP2",53,"acid phosphatase 2, lysosomal [Source:HGNC Symbol;Acc:HGNC:123]","protein_coding"
"ACP5",54,"acid phosphatase 5, tartrate resistant [Source:HGNC Symbol;Acc:HGNC:124]","protein_coding"
"ACP6",51205,"acid phosphatase 6, lysophosphatidic [Source:HGNC Symbol;Acc:HGNC:29609]","protein_coding"
"ACR",49,"acrosin [Source:HGNC Symbol;Acc:HGNC:126]","protein_coding"
"ACRBP",84519,"acrosin binding protein [Source:HGNC Symbol;Acc:HGNC:17195]","protein_coding"
"ACRV1",56,"acrosomal vesicle protein 1 [Source:HGNC Symbol;Acc:HGNC:127]","protein_coding"
"ACSBG1",23205,"acyl-CoA synthetase bubblegum family member 1 [Source:HGNC Symbol;Acc:HGNC:29567]","protein_coding"
"ACSBG2",81616,"acyl-CoA synthetase bubblegum family member 2 [Source:HGNC Symbol;Acc:HGNC:24174]","protein_coding"
"ACSF2",80221,"acyl-CoA synthetase family member 2 [Source:HGNC Symbol;Acc:HGNC:26101]","protein_coding"
"ACSF3",197322,"acyl-CoA synthetase family member 3 [Source:HGNC Symbol;Acc:HGNC:27288]","protein_coding"
"ACSL1",2180,"acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]","protein_coding"
"ACSL3",2181,"acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]","protein_coding"
"ACSL4",2182,"acyl-CoA synthetase long chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571]","protein_coding"
"ACSL5",51703,"acyl-CoA synthetase long chain family member 5 [Source:HGNC Symbol;Acc:HGNC:16526]","protein_coding"
"ACSL6",23305,"acyl-CoA synthetase long chain family member 6 [Source:HGNC Symbol;Acc:HGNC:16496]","protein_coding"
"ACSM1",116285,"acyl-CoA synthetase medium chain family member 1 [Source:HGNC Symbol;Acc:HGNC:18049]","protein_coding"
"ACSM2A",123876,"acyl-CoA synthetase medium chain family member 2A [Source:HGNC Symbol;Acc:HGNC:32017]","protein_coding"
"ACSM2B",348158,"acyl-CoA synthetase medium chain family member 2B [Source:HGNC Symbol;Acc:HGNC:30931]","protein_coding"
"ACSM3",6296,"acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]","protein_coding"
"ACSM4",341392,"acyl-CoA synthetase medium chain family member 4 [Source:HGNC Symbol;Acc:HGNC:32016]","protein_coding"
"ACSM5",54988,"acyl-CoA synthetase medium chain family member 5 [Source:HGNC Symbol;Acc:HGNC:26060]","protein_coding"
"ACSS2",55902,"acyl-CoA synthetase short chain family member 2 [Source:HGNC Symbol;Acc:HGNC:15814]","protein_coding"
"ACSS3",79611,"acyl-CoA synthetase short chain family member 3 [Source:HGNC Symbol;Acc:HGNC:24723]","protein_coding"
"ACTA1",58,"actin alpha 1, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:129]","protein_coding"
"ACTA2",59,"actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]","protein_coding"
"ACTB",60,"actin beta [Source:HGNC Symbol;Acc:HGNC:132]","protein_coding"
"ACTBL2",345651,"actin beta like 2 [Source:HGNC Symbol;Acc:HGNC:17780]","protein_coding"
"ACTC1",70,"actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]","protein_coding"
"ACTG1",71,"actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]","protein_coding"
"ACTG2",72,"actin gamma 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:145]","protein_coding"
"ACTL10",170487,"actin like 10 [Source:HGNC Symbol;Acc:HGNC:16127]","protein_coding"
"ACTL6A",86,"actin like 6A [Source:HGNC Symbol;Acc:HGNC:24124]","protein_coding"
"ACTL6B",51412,"actin like 6B [Source:HGNC Symbol;Acc:HGNC:160]","protein_coding"
"ACTL7A",10881,"actin like 7A [Source:HGNC Symbol;Acc:HGNC:161]","protein_coding"
"ACTL7B",10880,"actin like 7B [Source:HGNC Symbol;Acc:HGNC:162]","protein_coding"
"ACTL8",81569,"actin like 8 [Source:HGNC Symbol;Acc:HGNC:24018]","protein_coding"
"ACTL9",284382,"actin like 9 [Source:HGNC Symbol;Acc:HGNC:28494]","protein_coding"
"ACTN1",87,"actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]","protein_coding"
"ACTN2",88,"actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]","protein_coding"
"ACTN3",89,"actinin alpha 3 [Source:HGNC Symbol;Acc:HGNC:165]","protein_coding"
"ACTN4",81,"actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]","protein_coding"
"ACTR10",55860,"actin related protein 10 [Source:HGNC Symbol;Acc:HGNC:17372]","protein_coding"
"ACTR1A",10121,"actin related protein 1A [Source:HGNC Symbol;Acc:HGNC:167]","protein_coding"
"ACTR1B",10120,"actin related protein 1B [Source:HGNC Symbol;Acc:HGNC:168]","protein_coding"
"ACTR2",10097,"actin related protein 2 [Source:HGNC Symbol;Acc:HGNC:169]","protein_coding"
"ACTR3",10096,"actin related protein 3 [Source:HGNC Symbol;Acc:HGNC:170]","protein_coding"
"ACTR3B",57180,"actin related protein 3B [Source:HGNC Symbol;Acc:HGNC:17256]","protein_coding"
"ACTR3BP2",NA,"ACTR3B pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:38677]","processed_pseudogene"
"ACTR3C",653857,"actin related protein 3C [Source:HGNC Symbol;Acc:HGNC:37282]","protein_coding"
"ACTR5",79913,"actin related protein 5 [Source:HGNC Symbol;Acc:HGNC:14671]","protein_coding"
"ACTR6",64431,"actin related protein 6 [Source:HGNC Symbol;Acc:HGNC:24025]","protein_coding"
"ACTR8",93973,"actin related protein 8 [Source:HGNC Symbol;Acc:HGNC:14672]","protein_coding"
"ACTRT1",139741,"actin related protein T1 [Source:HGNC Symbol;Acc:HGNC:24027]","protein_coding"
"ACTRT2",140625,"actin related protein T2 [Source:HGNC Symbol;Acc:HGNC:24026]","protein_coding"
"ACTRT3",84517,"actin related protein T3 [Source:HGNC Symbol;Acc:HGNC:24022]","protein_coding"
"ACVR1",90,"activin A receptor type 1 [Source:HGNC Symbol;Acc:HGNC:171]","protein_coding"
"ACVR1B",91,"activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]","protein_coding"
"ACVR1C",130399,"activin A receptor type 1C [Source:HGNC Symbol;Acc:HGNC:18123]","protein_coding"
"ACVR2A",92,"activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]","protein_coding"
"ACVR2B",93,"activin A receptor type 2B [Source:HGNC Symbol;Acc:HGNC:174]","protein_coding"
"ACVRL1",94,"activin A receptor like type 1 [Source:HGNC Symbol;Acc:HGNC:175]","protein_coding"
"ACY1",95,"aminoacylase 1 [Source:HGNC Symbol;Acc:HGNC:177]","protein_coding"
"ACY3",91703,"aminoacylase 3 [Source:HGNC Symbol;Acc:HGNC:24104]","protein_coding"
"ACYP1",97,"acylphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:179]","protein_coding"
"ACYP2",98,"acylphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:180]","protein_coding"
"ADA",100,"adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]","protein_coding"
"ADAD1",132612,"adenosine deaminase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30713]","protein_coding"
"ADAD2",161931,"adenosine deaminase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30714]","protein_coding"
"ADAM10",102,"ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]","protein_coding"
"ADAM11",4185,"ADAM metallopeptidase domain 11 [Source:HGNC Symbol;Acc:HGNC:189]","protein_coding"
"ADAM12",8038,"ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]","protein_coding"
"ADAM15",8751,"ADAM metallopeptidase domain 15 [Source:HGNC Symbol;Acc:HGNC:193]","protein_coding"
"ADAM17",6868,"ADAM metallopeptidase domain 17 [Source:HGNC Symbol;Acc:HGNC:195]","protein_coding"
"ADAM18",8749,"ADAM metallopeptidase domain 18 [Source:HGNC Symbol;Acc:HGNC:196]","protein_coding"
"ADAM19",8728,"ADAM metallopeptidase domain 19 [Source:HGNC Symbol;Acc:HGNC:197]","protein_coding"
"ADAM1A",NA,"ADAM metallopeptidase domain 1A (pseudogene) [Source:HGNC Symbol;Acc:HGNC:187]","unitary_pseudogene"
"ADAM2",2515,"ADAM metallopeptidase domain 2 [Source:HGNC Symbol;Acc:HGNC:198]","protein_coding"
