"hgnc_symbol","ensembl_gene_id","entrezgene_id","description","gene_biotype","transcript_length"
"CASP10","ENSG00000003400",843,"caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]","protein_coding",5668
"CFLAR","ENSG00000003402",8837,"CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]","protein_coding",14612
"TFPI","ENSG00000003436",7035,"tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]","protein_coding",7690
"NDUFAF7","ENSG00000003509",55471,"NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]","protein_coding",2974
"RBM5","ENSG00000003756",10181,"RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]","protein_coding",5616
"MTMR7","ENSG00000003987",9108,"myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]","protein_coding",5110
"SLC7A2","ENSG00000003989",6542,"solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]","protein_coding",7638
"ARF5","ENSG00000004059",381,"ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]","protein_coding",1509
"SARM1","ENSG00000004139",23098,"sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]","protein_coding",10277
"POLDIP2","ENSG00000004142",26073,"DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]","protein_coding",2670
"PLXND1","ENSG00000004399",23129,"plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]","protein_coding",6913
"AK2","ENSG00000004455",204,"adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]","protein_coding",7687
"CD38","ENSG00000004468",952,"CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]","protein_coding",5620
"FKBP4","ENSG00000004478",2288,"FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]","protein_coding",3715
"KDM1A","ENSG00000004487",23028,"lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]","protein_coding",5786
"RBM6","ENSG00000004534",10180,"RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]","protein_coding",4324
"CAMKK1","ENSG00000004660",84254,"calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]","protein_coding",3898
"RECQL","ENSG00000004700",5965,"RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]","protein_coding",3745
"VPS50","ENSG00000004766",55610,"VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956]","protein_coding",5736
"HSPB6","ENSG00000004776",126393,"heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]","protein_coding",1460
"ARHGAP33","ENSG00000004777",115703,"Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]","protein_coding",4352
"NDUFAB1","ENSG00000004779",4706,"NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]","protein_coding",885
"PDK4","ENSG00000004799",5166,"pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]","protein_coding",3601
"SLC22A16","ENSG00000004809",85413,"solute carrier family 22 member 16 [Source:HGNC Symbol;Acc:HGNC:20302]","protein_coding",2033
"ZMYND10","ENSG00000004838",51364,"zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]","protein_coding",1774
"ABCB5","ENSG00000004846",340273,"ATP binding cassette subfamily B member 5 [Source:HGNC Symbol;Acc:HGNC:46]","protein_coding",5350
"ARX","ENSG00000004848",170302,"aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060]","protein_coding",2893
"SLC25A13","ENSG00000004864",10165,"solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]","protein_coding",3192
"ST7","ENSG00000004866",7982,"suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]","protein_coding",2899
"CDC27","ENSG00000004897",996,"cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]","protein_coding",5830
"SLC4A1","ENSG00000004939",6521,"solute carrier family 4 member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027]","protein_coding",4954
"CALCR","ENSG00000004948",799,"calcitonin receptor [Source:HGNC Symbol;Acc:HGNC:1440]","protein_coding",3829
"HCCS","ENSG00000004961",3052,"holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]","protein_coding",2312
"DVL2","ENSG00000004975",1856,"dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]","protein_coding",2989
"PRSS22","ENSG00000005001",64063,"serine protease 22 [Source:HGNC Symbol;Acc:HGNC:14368]","protein_coding",1769
"UPF1","ENSG00000005007",5976,"UPF1 RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]","protein_coding",5328
"SKAP2","ENSG00000005020",8935,"src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]","protein_coding",3839
"SLC25A5","ENSG00000005022",292,"solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]","protein_coding",1307
"MCUB","ENSG00000005059",55013,"mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]","protein_coding",2230
"HOXA11","ENSG00000005073",3207,"homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]","protein_coding",2669
"POLR2J","ENSG00000005075",5439,"RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]","protein_coding",937
"DHX33","ENSG00000005100",56919,"DEAH-box helicase 33 [Source:HGNC Symbol;Acc:HGNC:16718]","protein_coding",5535
"MEOX1","ENSG00000005102",4222,"mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]","protein_coding",2674
"THSD7A","ENSG00000005108",221981,"thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]","protein_coding",10655
"LIG3","ENSG00000005156",3980,"DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]","protein_coding",8382
"RPAP3","ENSG00000005175",79657,"RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]","protein_coding",4339
"ACSM3","ENSG00000005187",6296,"acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]","protein_coding",3311
"REXO5","ENSG00000005189",81691,"RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]","protein_coding",2691
"CIAPIN1","ENSG00000005194",57019,"cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]","protein_coding",2021
"SPPL2B","ENSG00000005206",56928,"signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627]","protein_coding",3691
"ATOSB","ENSG00000005238",80256,"atos homolog B [Source:HGNC Symbol;Acc:HGNC:25666]","protein_coding",5771
"COPZ2","ENSG00000005243",51226,"COPI coat complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]","protein_coding",914
"PRKAR2B","ENSG00000005249",5577,"protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]","protein_coding",4353
"MSL3","ENSG00000005302",10943,"MSL complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7370]","protein_coding",6544
"CREBBP","ENSG00000005339",1387,"CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]","protein_coding",10790
"TSPOAP1","ENSG00000005379",9256,"TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]","protein_coding",7698
"MPO","ENSG00000005381",4353,"myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]","protein_coding",3216
"PON1","ENSG00000005421",5444,"paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]","protein_coding",2393
"GCFC2","ENSG00000005436",6936,"GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]","protein_coding",4367
"WDR54","ENSG00000005448",84058,"WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]","protein_coding",2356
"CROT","ENSG00000005469",54677,"carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]","protein_coding",3205
"ABCB4","ENSG00000005471",5244,"ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]","protein_coding",4293
"KMT2E","ENSG00000005483",55904,"lysine methyltransferase 2E (inactive) [Source:HGNC Symbol;Acc:HGNC:18541]","protein_coding",7782
"RHBDD2","ENSG00000005486",57414,"rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082]","protein_coding",1878
"SOX8","ENSG00000005513",30812,"SRY-box transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:11203]","protein_coding",4796
"IBTK","ENSG00000005700",25998,"inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]","protein_coding",6040
"ZNF195","ENSG00000005801",7748,"zinc finger protein 195 [Source:HGNC Symbol;Acc:HGNC:12986]","protein_coding",9943
"MYCBP2","ENSG00000005810",23077,"MYC binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23386]","protein_coding",17482
"FBXL3","ENSG00000005812",26224,"F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599]","protein_coding",3506
"ITGAL","ENSG00000005844",3683,"integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]","protein_coding",7524
"PDK2","ENSG00000005882",5164,"pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]","protein_coding",3364
"ITGA3","ENSG00000005884",3675,"integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]","protein_coding",5479
"ZFX","ENSG00000005889",7543,"zinc finger protein X-linked [Source:HGNC Symbol;Acc:HGNC:12869]","protein_coding",7612
"LAMP2","ENSG00000005893",3920,"lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]","protein_coding",6535
"ITGA2B","ENSG00000005961",3674,"integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]","protein_coding",3479
"ASB4","ENSG00000005981",51666,"ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009]","protein_coding",3784
"GDE1","ENSG00000006007",51573,"glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]","protein_coding",2907
"REX1BD","ENSG00000006015",55049,"required for excision 1-B domain containing [Source:HGNC Symbol;Acc:HGNC:26098]","protein_coding",2465
"CRLF1","ENSG00000006016",9244,"cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]","protein_coding",1746
"OSBPL7","ENSG00000006025",114881,"oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:HGNC:16387]","protein_coding",4497
"TMEM98","ENSG00000006042",26022,"transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529]","protein_coding",4218
"YBX2","ENSG00000006047",51087,"Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]","protein_coding",4553
"KRT33A","ENSG00000006059",3883,"keratin 33A [Source:HGNC Symbol;Acc:HGNC:6450]","protein_coding",1303
"MAP3K14","ENSG00000006062",9020,"mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:HGNC:6853]","protein_coding",4583
"ABCC8","ENSG00000006071",6833,"ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]","protein_coding",6565
"CACNG3","ENSG00000006116",10368,"calcium voltage-gated channel auxiliary subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:1407]","protein_coding",1917
"TMEM132A","ENSG00000006118",54972,"transmembrane protein 132A [Source:HGNC Symbol;Acc:HGNC:31092]","protein_coding",3981
"AP2B1","ENSG00000006125",163,"adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]","protein_coding",5702
"TAC1","ENSG00000006128",6863,"tachykinin precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517]","protein_coding",1061
"ZNF263","ENSG00000006194",10127,"zinc finger protein 263 [Source:HGNC Symbol;Acc:HGNC:13056]","protein_coding",4920
"CX3CL1","ENSG00000006210",6376,"C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]","protein_coding",5796
"SPATA20","ENSG00000006282",64847,"spermatogenesis associated 20 [Source:HGNC Symbol;Acc:HGNC:26125]","protein_coding",3539
"CACNA1G","ENSG00000006283",8913,"calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]","protein_coding",8602
"TNFRSF12A","ENSG00000006327",51330,"TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]","protein_coding",1678
"DLX6","ENSG00000006377",1750,"distal-less homeobox 6 [Source:HGNC Symbol;Acc:HGNC:2919]","protein_coding",2300
"MAP3K9","ENSG00000006432",4293,"mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:HGNC:6861]","protein_coding",11511
"RALA","ENSG00000006451",5898,"RAS like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839]","protein_coding",2787
"BAIAP2L1","ENSG00000006453",55971,"BAR/IMD domain containing adaptor protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649]","protein_coding",3645
"KDM7A","ENSG00000006459",80853,"lysine demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224]","protein_coding",9220
"ETV1","ENSG00000006468",2115,"ETS variant transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3490]","protein_coding",6459
"AGK","ENSG00000006530",55750,"acylglycerol kinase [Source:HGNC Symbol;Acc:HGNC:21869]","protein_coding",3874
"ALDH3B1","ENSG00000006534",221,"aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]","protein_coding",5884
"TTC22","ENSG00000006555",55001,"tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]","protein_coding",3401
"PHTF2","ENSG00000006576",57157,"putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]","protein_coding",5198
"CCL26","ENSG00000006606",10344,"C-C motif chemokine ligand 26 [Source:HGNC Symbol;Acc:HGNC:10625]","protein_coding",703
"FARP2","ENSG00000006607",9855,"FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]","protein_coding",6065
"USH1C","ENSG00000006611",10083,"USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]","protein_coding",3241
"GGCT","ENSG00000006625",79017,"gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:HGNC:21705]","protein_coding",1158
"DBF4","ENSG00000006634",10926,"DBF4-CDC7 kinase regulatory subunit [Source:HGNC Symbol;Acc:HGNC:17364]","protein_coding",3655
"TBXA2R","ENSG00000006638",6915,"thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]","protein_coding",2642
"IFRD1","ENSG00000006652",3475,"interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]","protein_coding",3650
"LGALS14","ENSG00000006659",56891,"galectin 14 [Source:HGNC Symbol;Acc:HGNC:30054]","protein_coding",773
"COX10","ENSG00000006695",1352,"cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10 [Source:HGNC Symbol;Acc:HGNC:2260]","protein_coding",4948
"GTF2IRD1","ENSG00000006704",9569,"GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661]","protein_coding",5868
"PAF1","ENSG00000006712",54623,"PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]","protein_coding",2200
"VPS41","ENSG00000006715",27072,"VPS41 subunit of HOPS complex [Source:HGNC Symbol;Acc:HGNC:12713]","protein_coding",5854
"ARHGAP44","ENSG00000006740",9912,"Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:HGNC:29096]","protein_coding",4428
"ELAC2","ENSG00000006744",60528,"elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:HGNC:14198]","protein_coding",3767
"SCIN","ENSG00000006747",85477,"scinderin [Source:HGNC Symbol;Acc:HGNC:21695]","protein_coding",9682
"ARSD","ENSG00000006756",414,"arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]","protein_coding",5145
"PNPLA4","ENSG00000006757",8228,"patatin like phospholipase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24887]","protein_coding",3342
"MYH13","ENSG00000006788",8735,"myosin heavy chain 13 [Source:HGNC Symbol;Acc:HGNC:7571]","protein_coding",6067
"ADIPOR2","ENSG00000006831",79602,"adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]","protein_coding",3971
"CDKL3","ENSG00000006837",51265,"cyclin dependent kinase like 3 [Source:HGNC Symbol;Acc:HGNC:15483]","protein_coding",2222
"UPP2","ENSG00000007001",151531,"uridine phosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:23061]","protein_coding",3060
"PRSS21","ENSG00000007038",10942,"serine protease 21 [Source:HGNC Symbol;Acc:HGNC:9485]","protein_coding",1106
"MARK4","ENSG00000007047",57787,"microtubule affinity regulating kinase 4 [Source:HGNC Symbol;Acc:HGNC:13538]","protein_coding",5209
"PROM1","ENSG00000007062",8842,"prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454]","protein_coding",4349
"CCDC124","ENSG00000007080",115098,"coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:HGNC:25171]","protein_coding",1055
"CEACAM21","ENSG00000007129",90273,"CEA cell adhesion molecule 21 [Source:HGNC Symbol;Acc:HGNC:28834]","protein_coding",1691
"PAFAH1B1","ENSG00000007168",5048,"platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]","protein_coding",8092
"NOS2","ENSG00000007171",4843,"nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873]","protein_coding",5071
"DNAH9","ENSG00000007174",1770,"dynein axonemal heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:2953]","protein_coding",13711
"BLTP2","ENSG00000007202",9703,"bridge-like lipid transfer protein family member 2 [Source:HGNC Symbol;Acc:HGNC:28960]","protein_coding",7428
"SLC13A2","ENSG00000007216",9058,"solute carrier family 13 member 2 [Source:HGNC Symbol;Acc:HGNC:10917]","protein_coding",2855
"GAS7","ENSG00000007237",8522,"growth arrest specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]","protein_coding",8269
"TRAPPC6A","ENSG00000007255",79090,"trafficking protein particle complex subunit 6A [Source:HGNC Symbol;Acc:HGNC:23069]","protein_coding",805
"MATK","ENSG00000007264",4145,"megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6906]","protein_coding",2098
"CEACAM7","ENSG00000007306",1087,"CEA cell adhesion molecule 7 [Source:HGNC Symbol;Acc:HGNC:1819]","protein_coding",2489
"CD79B","ENSG00000007312",974,"CD79b molecule [Source:HGNC Symbol;Acc:HGNC:1699]","protein_coding",1254
"SCN4A","ENSG00000007314",6329,"sodium voltage-gated channel alpha subunit 4 [Source:HGNC Symbol;Acc:HGNC:10591]","protein_coding",7805
"ST7L","ENSG00000007341",54879,"suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:HGNC:18441]","protein_coding",4483
"TKTL1","ENSG00000007350",8277,"transketolase like 1 [Source:HGNC Symbol;Acc:HGNC:11835]","protein_coding",2566
"PAX6","ENSG00000007372",5080,"paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]","protein_coding",6944
"RPUSD1","ENSG00000007376",113000,"RNA pseudouridine synthase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14173]","protein_coding",2159
"RHBDF1","ENSG00000007384",64285,"rhomboid 5 homolog 1 [Source:HGNC Symbol;Acc:HGNC:20561]","protein_coding",2992
"LUC7L","ENSG00000007392",55692,"LUC7 like [Source:HGNC Symbol;Acc:HGNC:6723]","protein_coding",2737
"CACNA2D2","ENSG00000007402",9254,"calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]","protein_coding",5696
"BAIAP3","ENSG00000007516",8938,"BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]","protein_coding",5035
"TSR3","ENSG00000007520",115939,"TSR3 ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:14175]","protein_coding",1210
"PIGQ","ENSG00000007541",9091,"phosphatidylinositol glycan anchor biosynthesis class Q [Source:HGNC Symbol;Acc:HGNC:14135]","protein_coding",2958
"CRAMP1","ENSG00000007545",57585,"cramped chromatin regulator homolog 1 [Source:HGNC Symbol;Acc:HGNC:14122]","protein_coding",7972
"TEAD3","ENSG00000007866",7005,"TEA domain transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11716]","protein_coding",2986
"SELE","ENSG00000007908",6401,"selectin E [Source:HGNC Symbol;Acc:HGNC:10718]","protein_coding",3875
"DNAJC11","ENSG00000007923",55735,"DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570]","protein_coding",5004
"FMO3","ENSG00000007933",2328,"flavin containing dimethylaniline monoxygenase 3 [Source:HGNC Symbol;Acc:HGNC:3771]","protein_coding",2059
"MYLIP","ENSG00000007944",29116,"myosin regulatory light chain interacting protein [Source:HGNC Symbol;Acc:HGNC:21155]","protein_coding",6026
"NOX1","ENSG00000007952",27035,"NADPH oxidase 1 [Source:HGNC Symbol;Acc:HGNC:7889]","protein_coding",2543
"E2F2","ENSG00000007968",1870,"E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]","protein_coding",5196
"PSMB1","ENSG00000008018",5689,"proteasome 20S subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9537]","protein_coding",1939
"SYN1","ENSG00000008056",6853,"synapsin I [Source:HGNC Symbol;Acc:HGNC:11494]","protein_coding",3210
"JARID2","ENSG00000008083",3720,"jumonji and AT-rich interaction domain containing 2 [Source:HGNC Symbol;Acc:HGNC:6196]","protein_coding",6003
"CDKL5","ENSG00000008086",6792,"cyclin dependent kinase like 5 [Source:HGNC Symbol;Acc:HGNC:11411]","protein_coding",14695
"CAMK1G","ENSG00000008118",57172,"calcium/calmodulin dependent protein kinase IG [Source:HGNC Symbol;Acc:HGNC:14585]","protein_coding",3089
