,Gene,Gene ID,Gene Length
272,ADAMTS6,ENSG00000049192,333183
273,ADAMTS7,ENSG00000136378,52259
274,ADAMTS8,ENSG00000134917,23687
275,ADAMTS9,ENSG00000163638,172347
276,ADAMTSL1,ENSG00000178031,1004388
277,ADAMTSL2,ENSG00000197859,43356
278,ADAMTSL3,ENSG00000156218,385755
279,ADAMTSL4,ENSG00000143382,11569
280,ADAMTSL5,ENSG00000185761,8583
281,ADAP1,ENSG00000105963,57508
282,ADAP2,ENSG00000184060,53602
283,ADAR,ENSG00000160710,46319
284,ADARB1,ENSG00000197381,152708
285,ADARB2,ENSG00000185736,560213
286,ADAT1,ENSG00000065457,26433
287,ADAT2,ENSG00000189007,27864
288,ADAT3,ENSG00000213638,8049
289,ADCK1,ENSG00000063761,134906
290,ADCK2,ENSG00000133597,23317
291,ADCK5,ENSG00000173137,20142
292,ADCY1,ENSG00000164742,148977
293,ADCY10,ENSG00000143199,104830
294,ADCY2,ENSG00000078295,433944
295,ADCY3,ENSG00000138031,101069
296,ADCY4,ENSG00000129467,16745
297,ADCY5,ENSG00000173175,166795
298,ADCY6,ENSG00000174233,22896
299,ADCY7,ENSG00000121281,71999
300,ADCY8,ENSG00000155897,260609
301,ADCY9,ENSG00000162104,163056
302,ADCYAP1,ENSG00000141433,7302
303,ADCYAP1R1,ENSG00000078549,59167
304,ADD1,ENSG00000087274,86233
305,ADD2,ENSG00000075340,160608
306,ADD3,ENSG00000148700,139198
307,ADH1A,ENSG00000187758,14635
308,ADH1B,ENSG00000196616,16431
309,ADH1C,ENSG00000248144,16250
310,ADH4,ENSG00000198099,34136
311,ADH5,ENSG00000197894,17824
312,ADH6,ENSG00000172955,16900
313,ADH7,ENSG00000196344,23250
314,ADHFE1,ENSG00000147576,36416
315,ADI1,ENSG00000182551,22166
316,ADIG,ENSG00000182035,7269
317,ADIPOQ,ENSG00000181092,15760
318,ADIPOR1,ENSG00000159346,17747
319,ADIPOR2,ENSG00000006831,100101
320,ADK,ENSG00000156110,558762
321,ADM,ENSG00000148926,2325
322,ADM2,ENSG00000128165,4898
323,ADNP,ENSG00000101126,42522
324,ADNP2,ENSG00000101544,38262
325,ADO,ENSG00000181915,3760
326,ADORA1,ENSG00000163485,76752
327,ADORA2A,ENSG00000128271,24479
328,ADORA2B,ENSG00000170425,30617
329,ADORA3,ENSG00000282608,4205
330,ADPGK,ENSG00000159322,34553
331,ADPRH,ENSG00000144843,10678
332,ADPRHL1,ENSG00000153531,53878
333,ADRA1A,ENSG00000120907,119129
334,ADRA1B,ENSG00000170214,107933
335,ADRA1D,ENSG00000171873,28658
336,ADRA2A,ENSG00000150594,3879
337,ADRA2B,ENSG00000274286,3696
338,ADRA2C,ENSG00000184160,2179
339,ADRB1,ENSG00000043591,3039
340,ADRB2,ENSG00000169252,2013
341,ADRM1,ENSG00000130706,6770
342,ADSL,ENSG00000239900,44003
343,AEBP1,ENSG00000106624,10218
344,AEBP2,ENSG00000139154,316757
345,AEN,ENSG00000181026,10945
346,AFAP1,ENSG00000196526,181213
347,AFAP1L1,ENSG00000157510,71779
348,AFAP1L2,ENSG00000169129,109933
349,AFF1,ENSG00000172493,206038
350,AFF2,ENSG00000155966,500047
351,AFF3,ENSG00000144218,647010
352,AFF4,ENSG00000072364,88240
353,AFG3L2,ENSG00000141385,48284
354,AFM,ENSG00000079557,22257
355,AFMID,ENSG00000183077,20345
356,AFP,ENSG00000081051,25037
357,AFTPH,ENSG00000119844,68707
358,AGA,ENSG00000038002,11664
359,AGAP1,ENSG00000157985,637751
360,AGAP11,ENSG00000261011,8270
361,AGAP2,ENSG00000135439,18397
362,AGAP3,ENSG00000133612,58606
363,AGAP5,ENSG00000172650,23823
364,AGAP6,ENSG00000204149,29465
365,AGBL1,ENSG00000273540,969299
366,AGBL2,ENSG00000165923,55799
367,AGBL3,ENSG00000146856,161456
368,AGBL4,ENSG00000186094,1491101
369,AGBL5,ENSG00000084693,28259
370,AGER,ENSG00000204305,3355
371,AGFG1,ENSG00000173744,89066
372,AGFG2,ENSG00000106351,29018
373,AGGF1,ENSG00000164252,35984
374,AGK,ENSG00000006530,103967
375,AGL,ENSG00000162688,73663
376,AGMAT,ENSG00000116771,13353
377,AGMO,ENSG00000187546,361699
378,AGPAT1,ENSG00000204310,9885
379,AGPAT2,ENSG00000169692,14315
380,AGPAT3,ENSG00000160216,122370
381,AGPAT4,ENSG00000026652,144095
382,AGPAT5,ENSG00000155189,52862
383,AGPS,ENSG00000018510,174279
384,AGR2,ENSG00000106541,41623
385,AGR3,ENSG00000173467,22576
386,AGRN,ENSG00000188157,36000
387,AGRP,ENSG00000159723,977
388,AGT,ENSG00000135744,54801
389,AGTPBP1,ENSG00000135049,195491
390,AGTR1,ENSG00000144891,45225
391,AGTR2,ENSG00000180772,4231
392,AGTRAP,ENSG00000177674,18719
393,AGXT,ENSG00000172482,11679
394,AGXT2,ENSG00000113492,50035
395,AHCTF1,ENSG00000153207,92851
396,AHCY,ENSG00000101444,31535
397,AHCYL1,ENSG00000168710,38978
398,AHCYL2,ENSG00000158467,205182
399,AHDC1,ENSG00000126705,70397
400,AHI1,ENSG00000135541,215028
401,AHNAK,ENSG00000124942,122694
402,AHNAK2,ENSG00000185567,41131
403,AHR,ENSG00000106546,429794
404,AHRR,ENSG00000063438,116578
405,AHSA1,ENSG00000100591,11603
406,AHSG,ENSG00000145192,8259
407,AHSP,ENSG00000169877,904
408,AICDA,ENSG00000111732,11088
409,AIDA,ENSG00000186063,45198
410,AIF1,ENSG00000204472,1805
411,AIF1L,ENSG00000126878,26677
412,AIFM1,ENSG00000156709,41214
413,AIFM2,ENSG00000042286,34712
414,AIG1,ENSG00000146416,280563
415,AIM2,ENSG00000163568,131715
416,AIMP1,ENSG00000164022,33913
417,AIMP2,ENSG00000106305,14580
418,AIP,ENSG00000110711,22981
419,AIPL1,ENSG00000129221,41507
420,AIRE,ENSG00000160224,12811
421,AJAP1,ENSG00000196581,137926
422,AJUBA,ENSG00000129474,11375
423,AK1,ENSG00000106992,11190
424,AK2,ENSG00000004455,73011
425,AK3,ENSG00000147853,32488
426,AK4,ENSG00000162433,84597
427,AK5,ENSG00000154027,277948
428,AK7,ENSG00000140057,97300
429,AK8,ENSG00000165695,153200
430,AKAP1,ENSG00000121057,36255
431,AKAP10,ENSG00000108599,74042
432,AKAP11,ENSG00000023516,51110
433,AKAP12,ENSG00000131016,118593
434,AKAP13,ENSG00000170776,368788
435,AKAP14,ENSG00000186471,24880
436,AKAP17A,ENSG00000197976,10917
437,AKAP17A,ENSG00000292343,10917
438,AKAP3,ENSG00000111254,33544
439,AKAP4,ENSG00000147081,10231
440,AKAP5,ENSG00000179841,9005
441,AKAP6,ENSG00000151320,508387
442,AKAP7,ENSG00000118507,148069
443,AKAP8,ENSG00000105127,26431
444,AKAP8L,ENSG00000011243,39092
445,AKAP9,ENSG00000127914,169834
446,AKIP1,ENSG00000166452,8946
447,AKIRIN1,ENSG00000174574,14784
448,AKIRIN2,ENSG00000135334,27374
449,AKNA,ENSG00000106948,60250
450,AKNAD1,ENSG00000162641,147587
451,AKR1A1,ENSG00000117448,19507
452,AKR1B1,ENSG00000085662,16929
453,AKR1B10,ENSG00000198074,13846
454,AKR1B15,ENSG00000227471,30766
455,AKR1C2,ENSG00000151632,30257
456,AKR1C3,ENSG00000196139,72333
457,AKR1C4,ENSG00000198610,23488
458,AKR1D1,ENSG00000122787,115982
459,AKR1E2,ENSG00000165568,61434
460,AKR7A2,ENSG00000053371,10154
461,AKR7A2P1,ENSG00000229020,915
462,AKR7A3,ENSG00000162482,6198
463,AKT1,ENSG00000142208,26411
464,AKT1S1,ENSG00000204673,9427
465,AKT2,ENSG00000105221,55220
466,AKT3,ENSG00000117020,362847
467,AKTIP,ENSG00000166971,13372
468,ALAD,ENSG00000148218,14979
469,ALAS1,ENSG00000023330,16242
470,ALAS2,ENSG00000158578,21923
471,ALB,ENSG00000163631,24369
472,ALCAM,ENSG00000170017,209992
473,ALDH16A1,ENSG00000161618,17826
474,ALDH18A1,ENSG00000059573,50771
475,ALDH1A1,ENSG00000165092,179772
476,ALDH1A2,ENSG00000128918,544443
477,ALDH1A3,ENSG00000184254,54703
478,ALDH1B1,ENSG00000137124,5960
479,ALDH1L1,ENSG00000144908,94433
480,ALDH1L2,ENSG00000136010,87860
481,ALDH2,ENSG00000111275,50646
482,ALDH3A1,ENSG00000108602,10960
483,ALDH3A2,ENSG00000072210,37625
484,ALDH3B1,ENSG00000006534,20705
485,ALDH3B2,ENSG00000132746,19070
486,ALDH4A1,ENSG00000159423,31295
487,ALDH5A1,ENSG00000112294,42341
488,ALDH6A1,ENSG00000119711,27646
489,ALDH7A1,ENSG00000164904,64163
490,ALDH8A1,ENSG00000118514,32723
491,ALDH9A1,ENSG00000143149,36347
492,ALDOB,ENSG00000136872,29105
493,ALDOC,ENSG00000109107,3834
494,ALG1,ENSG00000033011,53678
495,ALG10,ENSG00000139133,7227
496,ALG10B,ENSG00000175548,12960
497,ALG11,ENSG00000253710,66842
498,ALG12,ENSG00000182858,18210
499,ALG13,ENSG00000101901,94839
500,ALG14,ENSG00000172339,98547
501,ALG1L2,ENSG00000251287,31397
502,ALG2,ENSG00000119523,5518
503,ALG3,ENSG00000214160,7248
504,ALG5,ENSG00000120697,51026
505,ALG6,ENSG00000088035,70979
506,ALG8,ENSG00000159063,44417
507,ALG9,ENSG00000086848,89387
508,ALK,ENSG00000171094,728813
509,ALKBH1,ENSG00000100601,35620
510,ALKBH2,ENSG00000189046,5444
511,ALKBH3,ENSG00000166199,39464
512,ALKBH4,ENSG00000160993,8626
513,ALKBH5,ENSG00000091542,26877
514,ALKBH6,ENSG00000239382,5120
515,ALKBH7,ENSG00000125652,2457
516,ALKBH8,ENSG00000137760,63016
517,ALLC,ENSG00000151360,44472
518,ALMS1,ENSG00000116127,239409
519,ALOX12,ENSG00000108839,14706
520,ALOX12B,ENSG00000179477,15081
521,ALOX15,ENSG00000161905,11376
522,ALOX15B,ENSG00000179593,10101
523,ALOX5,ENSG00000012779,71944
524,ALOX5AP,ENSG00000132965,50949
525,ALOXE3,ENSG00000179148,23148
526,ALPI,ENSG00000163295,4629
527,ALPK1,ENSG00000073331,157113
528,ALPK2,ENSG00000198796,147845
529,ALPK3,ENSG00000136383,56124
530,ALPL,ENSG00000162551,69014
531,ALPP,ENSG00000163283,4166
532,ALS2,ENSG00000003393,81846
533,ALS2CL,ENSG00000178038,24710
534,ALX1,ENSG00000180318,21565
535,ALX3,ENSG00000156150,10803
536,ALX4,ENSG00000052850,49700
537,ALYREF,ENSG00000183684,3752
538,AMACR,ENSG00000242110,21940
539,AMBN,ENSG00000178522,15033
540,AMBP,ENSG00000106927,18202
541,AMBRA1,ENSG00000110497,197712
542,AMD1,ENSG00000123505,24110
543,AMDHD1,ENSG00000139344,25390
544,AMDHD2,ENSG00000162066,11066
545,AMELX,ENSG00000125363,7349
546,AMELY,ENSG00000099721,45835
547,AMFR,ENSG00000159461,64094
548,AMH,ENSG00000104899,2765
549,AMHR2,ENSG00000135409,7818
550,AMIGO1,ENSG00000181754,5561
551,AMIGO2,ENSG00000139211,4253
552,AMIGO3,ENSG00000176020,2856
553,AMMECR1,ENSG00000101935,246133
554,AMMECR1L,ENSG00000144233,24338
555,AMN,ENSG00000166126,10934
556,AMN1,ENSG00000151743,57980
557,AMOT,ENSG00000126016,66329
558,AMOTL1,ENSG00000166025,170318
559,AMOTL2,ENSG00000114019,20133
560,AMPD1,ENSG00000116748,22529
561,AMPD2,ENSG00000116337,15948
562,AMPD3,ENSG00000133805,199267
563,AMPH,ENSG00000078053,247717
564,AMT,ENSG00000145020,5908
565,AMTN,ENSG00000187689,14175
566,AMY2A,ENSG00000243480,8354
567,AMY2B,ENSG00000240038,25720
568,AMZ1,ENSG00000174945,95979
569,AMZ2,ENSG00000196704,52232
570,AMZ2P1,ENSG00000214174,5296
571,AMZ2P1,ENSG00000291140,9259
572,ANAPC1,ENSG00000153107,273052
573,ANAPC10,ENSG00000164162,266634
574,ANAPC11,ENSG00000141552,10202
575,ANAPC13,ENSG00000129055,9011
576,ANAPC16,ENSG00000166295,19861
577,ANAPC2,ENSG00000176248,13777
578,ANAPC4,ENSG00000053900,41236
579,ANAPC5,ENSG00000089053,91652
580,ANAPC7,ENSG00000196510,30831
581,ANG,ENSG00000214274,14795
582,ANGEL1,ENSG00000013523,44514
583,ANGEL2,ENSG00000174606,23686
584,ANGPT1,ENSG00000154188,248574
585,ANGPT2,ENSG00000091879,63778
586,ANGPT4,ENSG00000101280,46435
587,ANGPTL1,ENSG00000116194,21543
588,ANGPTL2,ENSG00000136859,35288
589,ANGPTL3,ENSG00000132855,8794
590,ANGPTL4,ENSG00000167772,11082
591,ANGPTL5,ENSG00000187151,25849
592,ANGPTL6,ENSG00000130812,10341
593,ANGPTL7,ENSG00000171819,6627
594,ANK1,ENSG00000029534,243522
595,ANK2,ENSG00000145362,566190
596,ANK3,ENSG00000151150,707193
597,ANKAR,ENSG00000151687,86904
598,ANKDD1A,ENSG00000166839,46790
599,ANKFN1,ENSG00000153930,634716
600,ANKFY1,ENSG00000185722,100175
601,ANKH,ENSG00000154122,166979
602,ANKIB1,ENSG00000001629,155410
603,ANKK1,ENSG00000170209,12638
604,ANKLE1,ENSG00000160117,6002
605,ANKLE2,ENSG00000176915,36330
606,ANKMY1,ENSG00000144504,89788
607,ANKMY2,ENSG00000106524,46039
608,ANKRA2,ENSG00000164331,13478
609,ANKRD1,ENSG00000148677,8992
610,ANKRD10,ENSG00000088448,36530
611,ANKRD11,ENSG00000167522,222943
612,ANKRD12,ENSG00000101745,149758
613,ANKRD13A,ENSG00000076513,40578
614,ANKRD13B,ENSG00000198720,24993
615,ANKRD13C,ENSG00000118454,95736
616,ANKRD13D,ENSG00000172932,13186
617,ANKRD16,ENSG00000134461,28291
618,ANKRD17,ENSG00000132466,185423
619,ANKRD18A,ENSG00000180071,80030
620,ANKRD2,ENSG00000165887,11386
621,ANKRD20A9P,ENSG00000206192,55250
622,ANKRD22,ENSG00000152766,31949
623,ANKRD23,ENSG00000163126,33409
624,ANKRD24,ENSG00000089847,42126
625,ANKRD26,ENSG00000107890,126702
626,ANKRD26P1,ENSG00000261239,50611
627,ANKRD26P3,ENSG00000237636,59841
628,ANKRD26P3,ENSG00000293699,82288
629,ANKRD27,ENSG00000105186,79592
630,ANKRD28,ENSG00000206560,192536
631,ANKRD29,ENSG00000154065,63986
632,ANKRD30A,ENSG00000148513,106970
633,ANKRD30B,ENSG00000180777,126396
634,ANKRD30BL,ENSG00000163046,110379
635,ANKRD31,ENSG00000145700,168637
636,ANKRD33,ENSG00000167612,3719
637,ANKRD33B,ENSG00000164236,93747
638,ANKRD34A,ENSG00000272031,5135
639,ANKRD34B,ENSG00000189127,13526
640,ANKRD34C,ENSG00000235711,15518
641,ANKRD35,ENSG00000198483,19307
642,ANKRD36,ENSG00000135976,151369
643,ANKRD36B,ENSG00000196912,97215
644,ANKRD37,ENSG00000186352,4608
645,ANKRD39,ENSG00000213337,21406
646,ANKRD40,ENSG00000154945,14717
647,ANKRD42,ENSG00000137494,66983
648,ANKRD44,ENSG00000065413,344157
649,ANKRD45,ENSG00000183831,61516
650,ANKRD46,ENSG00000186106,50033
651,ANKRD49,ENSG00000168876,5600
652,ANKRD50,ENSG00000151458,48685
653,ANKRD52,ENSG00000139645,20578
654,ANKRD53,ENSG00000144031,7120
655,ANKRD54,ENSG00000100124,18473
656,ANKRD55,ENSG00000164512,133651
657,ANKRD6,ENSG00000135299,200683
658,ANKRD63,ENSG00000230778,4693
659,ANKRD65,ENSG00000235098,3350
660,ANKRD7,ENSG00000106013,281503
661,ANKRD9,ENSG00000156381,8033
662,ANKS1A,ENSG00000064999,202152
663,ANKS1B,ENSG00000185046,1258480
664,ANKS3,ENSG00000168096,37869
665,ANKS4B,ENSG00000175311,20152
666,ANKS6,ENSG00000165138,65637
667,ANKUB1,ENSG00000206199,207286
668,ANKZF1,ENSG00000163516,6897
669,ANLN,ENSG00000011426,63971
670,ANO1,ENSG00000131620,203624
671,ANO10,ENSG00000160746,336736
672,ANO2,ENSG00000047617,414364
673,ANO3,ENSG00000134343,474448
674,ANO4,ENSG00000151572,411116
675,ANO5,ENSG00000171714,500909
676,ANO6,ENSG00000177119,266294
677,ANO7,ENSG00000146205,37468
678,ANO8,ENSG00000074855,11633
679,ANO9,ENSG00000185101,24079
680,ANP32A,ENSG00000140350,42363
681,ANP32AP1,ENSG00000259516,737
682,ANP32B,ENSG00000136938,32603
683,ANP32D,ENSG00000139223,1064
684,ANP32E,ENSG00000143401,17740
685,ANPEP,ENSG00000166825,30507
686,ANTXR1,ENSG00000169604,236152
687,ANTXR2,ENSG00000163297,224309
688,ANXA1,ENSG00000135046,18765
689,ANXA10,ENSG00000109511,95200
